"","County Code","County Name","Total Population, 2019","Population in Households, 2019","Population in Group Quarters, 2019","Households, 2019","Persons per Household, 2019"
"1",1,"Aitkin",15870,15616,254,7446,2.09723341391351
"2",3,"Anoka",362648,358895,3753,132301,2.71271570131745
"3",5,"Becker",34545,34068,477,14231,2.3939287471014
"4",7,"Beltrami",47184,45194,1990,18172,2.48701298701299
"5",9,"Benton",40895,39845,1050,16420,2.42661388550548
"6",11,"Big Stone",4993,4856,137,2237,2.17076441662941
"7",13,"Blue Earth",68583,64424,4159,27067,2.38016773192448
"8",15,"Brown",25119,24022,1097,10936,2.19659839063643
"9",17,"Carlton",35935,33942,1993,13839,2.45263386082809
"10",19,"Carver",107179,106261,918,38419,2.7658450245972
"11",21,"Cass",29754,29552,202,12673,2.33188668823483
"12",23,"Chippewa",11858,11606,252,5138,2.25885558583106
"13",25,"Chisago",56613,54898,1715,20714,2.65028483151492
"14",27,"Clay",64591,61662,2929,25296,2.43761859582543
"15",29,"Clearwater",8808,8707,101,3618,2.40657822001106
"16",31,"Cook",5462,5413,49,2707,1.99963058736609
"17",33,"Cottonwood",11216,10968,248,4811,2.27977551444606
"18",35,"Crow Wing",65274,64490,784,27532,2.34236524771175
"19",37,"Dakota",433302,430517,2785,166351,2.58800367896797
"20",39,"Dodge",20943,20794,149,7904,2.63081983805668
"21",41,"Douglas",38220,37688,532,16713,2.25501106922755
"22",43,"Faribault",13580,13361,219,6140,2.17605863192182
"23",45,"Fillmore",21060,20703,357,8731,2.37120604741725
"24",47,"Freeborn",30364,29734,630,13101,2.26959774063049
"25",49,"Goodhue",46449,45556,893,19388,2.34970084588405
"26",51,"Grant",5967,5895,72,2656,2.21950301204819
"27",53,"Hennepin",1279981,1253114,26867,525738,2.38353324279394
"28",55,"Houston",18626,18356,270,8041,2.28280064668574
"29",57,"Hubbard",21494,21325,169,9182,2.32247876279678
"30",59,"Isanti",40566,40130,436,15208,2.63874276696476
"31",61,"Itasca",45203,44170,1033,19397,2.27715626127752
"32",63,"Jackson",9858,9745,113,4398,2.21577989995452
"33",65,"Kanabec",16310,16057,253,6484,2.47640345465762
"34",67,"Kandiyohi",43193,42163,1030,17209,2.4500552036725
"35",69,"Kittson",4299,4188,111,1930,2.1699481865285
"36",71,"Koochiching",12430,12177,253,5770,2.1103986135182
"37",73,"Lac qui Parle",6629,6475,154,3030,2.13696369636964
"38",75,"Lake",10632,10416,216,4901,2.12528055498878
"39",77,"Lake of the Woods",3798,3742,56,1730,2.16300578034682
"40",79,"Le Sueur",28894,28622,272,11273,2.5389869599929
"41",81,"Lincoln",5648,5512,136,2519,2.18816990869393
"42",83,"Lyon",25635,24781,854,10360,2.39198841698842
"43",85,"McLeod",35963,35479,484,14824,2.39334862385321
"44",87,"Mahnomen",5529,5450,79,2010,2.71144278606965
"45",89,"Marshall",9342,9268,74,3980,2.3286432160804
"46",91,"Martin",19752,19425,327,8852,2.19441934026209
"47",93,"Meeker",23256,22907,349,9324,2.45677820677821
"48",95,"Mille Lacs",26227,25750,477,10388,2.47882171736619
"49",97,"Morrison",33368,32849,519,13395,2.45233296005972
"50",99,"Mower",40124,39454,670,16001,2.46572089244422
"51",101,"Murray",8222,8060,162,3649,2.20882433543437
"52",103,"Nicollet",34323,31458,2865,13024,2.41538697788698
"53",105,"Nobles",21976,21576,400,8112,2.65976331360947
"54",107,"Norman",6367,6266,101,2739,2.28769623950347
"55",109,"Olmsted",160431,158126,2305,64491,2.45190801817308
"56",111,"Otter Tail",58734,57608,1126,24862,2.31711044968225
"57",113,"Pennington",14355,14020,335,6172,2.27154893065457
"58",115,"Pine",29526,27943,1583,11583,2.41241474574808
"59",117,"Pipestone",9132,8924,208,4002,2.22988505747126
"60",119,"Polk",31524,30306,1218,12879,2.35313300722106
"61",121,"Pope",11139,10975,164,4931,2.22571486513892
"62",123,"Ramsey",558248,540687,17561,216654,2.49562435957794
"63",125,"Red Lake",4030,4018,12,1745,2.3025787965616
"64",127,"Redwood",15204,14830,374,6420,2.30996884735203
"65",129,"Renville",14588,14228,360,6267,2.27030477102282
"66",131,"Rice",66853,59547,7306,23709,2.51157788181703
"67",133,"Rock",9359,9099,260,3897,2.33487297921478
"68",135,"Roseau",15242,15046,196,6245,2.40928742994396
"69",137,"St. Louis",199661,190854,8807,86420,2.20844711872252
"70",139,"Scott",148458,147081,1377,50706,2.90066264347415
"71",141,"Sherburne",97520,95141,2379,33188,2.86672893817042
"72",143,"Sibley",14899,14669,230,5998,2.44564854951651
"73",145,"Stearns",160211,153481,6730,60587,2.53323320184198
"74",147,"Steele",37112,36585,527,14723,2.48488759084426
"75",149,"Stevens",9766,8840,926,3741,2.36300454423951
"76",151,"Swift",9367,9198,169,4166,2.20787325972156
"77",153,"Todd",24665,24330,335,9947,2.44596360711772
"78",155,"Traverse",3263,3163,100,1476,2.1429539295393
"79",157,"Wabasha",21614,21382,232,8984,2.3800089047195
"80",159,"Wadena",13744,13255,489,5796,2.28692201518288
"81",161,"Waseca",18648,17705,943,7335,2.41376959781868
"82",163,"Washington",262748,259171,3577,98214,2.63883967662451
"83",165,"Watonwan",10923,10772,151,4493,2.39750723347429
"84",167,"Wilkin",6226,6074,152,2713,2.23884998157022
"85",169,"Winona",50830,46975,3855,19967,2.35263184254019
"86",171,"Wright",138531,137373,1158,49119,2.79673853295059
"87",173,"Yellow Medicine",9729,9436,293,4134,2.28253507498791
"88",NA,"",NA,NA,NA,NA,NA
